"","titulos","anos","duracao","classificacao"
"1","Um Sonho de Liberdade","1994","2h 22m","16"
"2","O Poderoso Chefão","1972","2h 55m","14"
"3","Batman - O Cavaleiro das Trevas","2008","2h 32m","12"
"4","O Poderoso Chefão II","1974","3h 22m","14"
"5","12 Homens e uma Sentença","1957","1h 36m","Livre"
"6","A Lista de Schindler","1993","3h 15m","14"
"7","O Senhor dos Anéis: O Retorno do Rei","2003","3h 21m","14"
"8","Pulp Fiction - Tempo de Violência","1994","2h 34m","18"
"9","O Senhor dos Anéis: A Sociedade do Anel","2001","2h 58m","12"
"10","Três Homens em Conflito","1966","2h 41m","14"
"11","Forrest Gump: O Contador de Histórias","1994","2h 22m","14"
"12","O Senhor dos Anéis: As Duas Torres","2002","2h 59m","12"
"13","Clube da Luta","1999","2h 19m","18"
"14","A Origem","2010","2h 28m","14"
"15","Star Wars: Episódio V - O Império Contra-Ataca","1980","2h 4m","Livre"
"16","Matrix","1999","2h 16m","14"
"17","Os Bons Companheiros","1990","2h 25m","14"
"18","Um Estranho no Ninho","1975","2h 13m","16"
"19","Seven: Os Sete Crimes Capitais","1995","2h 7m","14"
"20","A Felicidade Não se Compra","1946","2h 10m","Livre"
"21","Interestelar","2014","2h 49m","10"
"22","Os Sete Samurais","1954","3h 27m","10"
"23","O Silêncio dos Inocentes","1991","1h 58m","14"
"24","O Resgate do Soldado Ryan","1998","2h 49m","14"
"25","Cidade de Deus","2002","2h 10m","18"
"26","A Vida é Bela","1997","1h 56m","Livre"
"27","À Espera de um Milagre","1999","3h 9m","18"
"28","O Exterminador do Futuro 2: O Julgamento Final","1991","2h 17m","14"
"29","Star Wars: Episódio IV - Uma Nova Esperança","1977","2h 1m","Livre"
"30","De Volta para o Futuro","1985","1h 56m","Livre"
"31","A Viagem de Chihiro","2001","2h 5m","Livre"
"32","Homem-Aranha: Através do Aranhaverso","2023","2h 20m","10"
"33","O Pianista","2002","2h 30m","14"
"34","Parasita","2019","2h 12m","16"
"35","Psicose","1960","1h 49m","14"
"36","Gladiador","2000","2h 35m","14"
"37","O Rei Leão","1994","1h 28m","Livre"
"38","O Profissional","1994","1h 50m","14"
"39","Os Infiltrados","2006","2h 31m","18"
"40","A Outra História Americana","1998","1h 59m","14"
"41","Whiplash: Em Busca da Perfeição","2014","1h 46m","12"
"42","O Grande Truque","2006","2h 10m","14"
"43","Túmulo dos Vagalumes","1988","1h 29m","12"
"44","Harakiri","1962","2h 13m","16"
"45","Os Suspeitos","1995","1h 46m","14"
